243. sec: +0.4, ay: +0.7656, gx: +0.3852, angle: -14
244. sec: +0.4, ay: +0.7600, gx: +0.3673, angle: -14
245. sec: +0.4, ay: +0.7830, gx: +0.3501, angle: -14
246. sec: +0.4, ay: +0.7822, gx: +0.3289, angle: -14
247. sec: +0.4, ay: +0.7820, gx: +0.3209, angle: -14
248. sec: +0.4, ay: +0.7688, gx: +0.3123, angle: -14
249. sec: +0.4, ay: +0.7722, gx: +0.3132, angle: -14
250. sec: +0.4, ay: +0.7583, gx: +0.3252, angle: -14
251. sec: +0.5, ay: +0.7354, gx: +0.3400, angle: -14
252. sec: +0.5, ay: +0.7185, gx: +0.3528, angle: -14
253. sec: +0.5, ay: +0.6988, gx: +0.3529, angle: -14
254. sec: +0.5, ay: +0.7105, gx: +0.3529, angle: -14
255. sec: +0.5, ay: +0.7029, gx: +0.3457, angle: -14
256. sec: +0.5, ay: +0.6941, gx: +0.3248, angle: -15
257. sec: +0.5, ay: +0.7124, gx: +0.2886, angle: -15
258. sec: +0.5, ay: +0.7302, gx: +0.2505, angle: -15
259. sec: +0.5, ay: +0.7327, gx: +0.2120, angle: -15
260. sec: +0.5, ay: +0.7627, gx: +0.1420, angle: -15
261. sec: +0.5, ay: +0.7835, gx: +0.0441, angle: -15
262. sec: +0.5, ay: +0.7957, gx: -0.0107, angle: -15
263. sec: +0.5, ay: +0.8103, gx: -0.1259, angle: -15
264. sec: +0.5, ay: +0.8421, gx: -0.1956, angle: -15
265. sec: +0.5, ay: +0.8523, gx: -0.2097, angle: -15
266. sec: +0.5, ay: +0.8479, gx: -0.2793, angle: -15
267. sec: +0.5, ay: +0.8325, gx: -0.2982, angle: -15
268. sec: +0.5, ay: +0.8137, gx: -0.3375, angle: -14
269. sec: +0.5, ay: +0.7818, gx: -0.2939, angle: -14
270. sec: +0.5, ay: +0.7669, gx: -0.2751, angle: -14
271. sec: +0.5, ay: +0.7283, gx: -0.2550, angle: -14
272. sec: +0.5, ay: +0.7190, gx: -0.2670, angle: -14
273. sec: +0.5, ay: +0.7136, gx: -0.2153, angle: -14
274. sec: +0.5, ay: +0.7053, gx: -0.1955, angle: -14
275. sec: +0.5, ay: +0.6973, gx: -0.1865, angle: -14
276. sec: +0.5, ay: +0.7175, gx: -0.1844, angle: -14
277. sec: +0.5, ay: +0.7422, gx: -0.1905, angle: -14
278. sec: +0.5, ay: +0.7530, gx: -0.1686, angle: -14
279. sec: +0.5, ay: +0.7791, gx: -0.2111, angle: -14
280. sec: +0.5, ay: +0.7869, gx: -0.2095, angle: -14
281. sec: +0.5, ay: +0.7920, gx: -0.2352, angle: -14
282. sec: +0.5, ay: +0.8093, gx: -0.2815, angle: -14
283. sec: +0.5, ay: +0.8064, gx: -0.3163, angle: -14
284. sec: +0.5, ay: +0.8135, gx: -0.3571, angle: -14
285. sec: +0.5, ay: +0.8196, gx: -0.3937, angle: -14
286. sec: +0.5, ay: +0.8108, gx: -0.4244, angle: -14
287. sec: +0.5, ay: +0.8020, gx: -0.4575, angle: -14
288. sec: +0.5, ay: +0.7898, gx: -0.4882, angle: -14
289. sec: +0.5, ay: +0.7647, gx: -0.5180, angle: -14
290. sec: +0.5, ay: +0.7625, gx: -0.5431, angle: -14
291. sec: +0.5, ay: +0.7285, gx: -0.5708, angle: -14
292. sec: +0.5, ay: +0.7288, gx: -0.6033, angle: -14
293. sec: +0.5, ay: +0.7263, gx: -0.6382, angle: -14
294. sec: +0.5, ay: +0.7271, gx: -0.6719, angle: -14
295. sec: +0.5, ay: +0.7368, gx: -0.7079, angle: -13
296. sec: +0.5, ay: +0.7495, gx: -0.7446, angle: -13
297. sec: +0.5, ay: +0.7573, gx: -0.7513, angle: -13
298. sec: +0.5, ay: +0.7749, gx: -0.8159, angle: -13
299. sec: +0.5, ay: +0.7881, gx: -0.8391, angle: -13
300. sec: +0.5, ay: +0.7967, gx: -0.8651, angle: -13
301. sec: +0.5, ay: +0.8040, gx: -0.8784, angle: -13
302. sec: +0.5, ay: +0.8025, gx: -0.8808, angle: -13
303. sec: +0.5, ay: +0.8052, gx: -0.8835, angle: -13
304. sec: +0.5, ay: +0.8032, gx: -0.8808, angle: -13
305. sec: +0.5, ay: +0.7976, gx: -0.8703, angle: -13
306. sec: +0.5, ay: +0.8042, gx: -0.8631, angle: -13
307. sec: +0.6, ay: +0.7818, gx: -0.8568, angle: -12
308. sec: +0.6, ay: +0.7835, gx: -0.8508, angle: -12
309. sec: +0.6, ay: +0.7825, gx: -0.8426, angle: -12
310. sec: +0.6, ay: +0.7796, gx: -0.8447, angle: -12
311. sec: +0.6, ay: +0.7781, gx: -0.8466, angle: -12
