137. sec: +0.2, ay: -0.3229, gx: -1.0418, angle: 12
138. sec: +0.2, ay: -0.3151, gx: -0.9963, angle: 12
139. sec: +0.3, ay: -0.3109, gx: -0.9847, angle: 12
140. sec: +0.3, ay: -0.3090, gx: -0.9734, angle: 12
141. sec: +0.3, ay: -0.3063, gx: -0.9623, angle: 12
142. sec: +0.3, ay: -0.3102, gx: -0.9776, angle: 12
143. sec: +0.3, ay: -0.3060, gx: -0.9375, angle: 13
144. sec: +0.3, ay: -0.3087, gx: -0.9293, angle: 13
145. sec: +0.3, ay: -0.3080, gx: -0.9235, angle: 13
146. sec: +0.3, ay: -0.3063, gx: -0.9147, angle: 13
147. sec: +0.3, ay: -0.3107, gx: -0.9054, angle: 13
148. sec: +0.3, ay: -0.3036, gx: -0.9066, angle: 13
149. sec: +0.3, ay: -0.3331, gx: -0.9154, angle: 13
150. sec: +0.3, ay: -0.3065, gx: -0.9195, angle: 13
151. sec: +0.3, ay: -0.3241, gx: -0.9165, angle: 13
152. sec: +0.3, ay: -0.3246, gx: -0.9237, angle: 13
153. sec: +0.3, ay: -0.3063, gx: -0.9243, angle: 14
154. sec: +0.3, ay: -0.3190, gx: -0.9305, angle: 14
155. sec: +0.3, ay: -0.3104, gx: -0.9382, angle: 14
156. sec: +0.3, ay: -0.3278, gx: -0.9423, angle: 14
157. sec: +0.3, ay: -0.3334, gx: -0.9482, angle: 14
158. sec: +0.3, ay: -0.3243, gx: -0.9538, angle: 14
159. sec: +0.3, ay: -0.3239, gx: -0.9606, angle: 14
160. sec: +0.3, ay: -0.3593, gx: -0.9659, angle: 14
161. sec: +0.3, ay: -0.3822, gx: -0.9631, angle: 14
162. sec: +0.3, ay: -0.3895, gx: -0.9595, angle: 14
163. sec: +0.3, ay: -0.3973, gx: -0.9548, angle: 14
164. sec: +0.3, ay: -0.4076, gx: -0.9763, angle: 15
165. sec: +0.3, ay: -0.4064, gx: -0.9294, angle: 15
166. sec: +0.3, ay: -0.4110, gx: -0.9193, angle: 15
167. sec: +0.3, ay: -0.4098, gx: -0.9141, angle: 15
168. sec: +0.3, ay: -0.4100, gx: -0.9106, angle: 15
169. sec: +0.3, ay: -0.4108, gx: -0.9182, angle: 15
170. sec: +0.3, ay: -0.4269, gx: -0.9301, angle: 15
171. sec: +0.3, ay: -0.3981, gx: -0.9410, angle: 15
172. sec: +0.3, ay: -0.4120, gx: -0.9579, angle: 15
173. sec: +0.3, ay: -0.4012, gx: -0.9711, angle: 15
174. sec: +0.3, ay: -0.3881, gx: -0.9868, angle: 16
175. sec: +0.3, ay: -0.3886, gx: -1.0032, angle: 16
176. sec: +0.3, ay: -0.3712, gx: -1.0097, angle: 16
177. sec: +0.3, ay: -0.3717, gx: -1.0168, angle: 16
178. sec: +0.3, ay: -0.3644, gx: -1.0199, angle: 16
179. sec: +0.3, ay: -0.3710, gx: -1.0167, angle: 16
180. sec: +0.3, ay: -0.3746, gx: -1.0119, angle: 16
181. sec: +0.3, ay: -0.3771, gx: -0.9964, angle: 16
182. sec: +0.3, ay: -0.3698, gx: -0.9791, angle: 16
183. sec: +0.3, ay: -0.3295, gx: -0.9768, angle: 16
184. sec: +0.3, ay: -0.3475, gx: -0.9710, angle: 17
185. sec: +0.3, ay: -0.3456, gx: -0.9770, angle: 17
186. sec: +0.3, ay: -0.3466, gx: -0.9853, angle: 17
187. sec: +0.3, ay: -0.3575, gx: -0.9952, angle: 17
188. sec: +0.3, ay: -0.3627, gx: -0.9991, angle: 17
189. sec: +0.3, ay: -0.3803, gx: -0.9948, angle: 17
190. sec: +0.3, ay: -0.3947, gx: -0.9871, angle: 17
191. sec: +0.3, ay: -0.3859, gx: -1.0099, angle: 17
192. sec: +0.3, ay: -0.4437, gx: -0.9448, angle: 17
193. sec: +0.3, ay: -0.4420, gx: -0.9376, angle: 17
194. sec: +0.3, ay: -0.4345, gx: -0.8986, angle: 18
195. sec: +0.4, ay: -0.4398, gx: -0.8196, angle: 18
196. sec: +0.4, ay: -0.4403, gx: -0.7828, angle: 18
197. sec: +0.4, ay: -0.4159, gx: -0.7478, angle: 18
198. sec: +0.4, ay: -0.3888, gx: -0.7399, angle: 18
199. sec: +0.4, ay: -0.3759, gx: -0.7502, angle: 18
200. sec: +0.4, ay: -0.3822, gx: -0.7411, angle: 18
201. sec: +0.4, ay: -0.3917, gx: -0.7732, angle: 18
202. sec: +0.4, ay: -0.4064, gx: -0.8191, angle: 18
203. sec: +0.4, ay: -0.4352, gx: -0.8906, angle: 18
204. sec: +0.4, ay: -0.4286, gx: -0.9286, angle: 18
205. sec: +0.4, ay: -0.4552, gx: -0.9535, angle: 18
206. sec: +0.4, ay: -0.4559, gx: -0.9719, angle: 19
207. sec: +0.4, ay: -0.4518, gx: -0.9841, angle: 19
208. sec: +0.4, ay: -0.4484, gx: -0.9956, angle: 19
209. sec: +0.4, ay: -0.4440, gx: -1.0081, angle: 19
210. sec: +0.4, ay: -0.4169, gx: -1.0196, angle: 19
211. sec: +0.4, ay: -0.4352, gx: -1.0393, angle: 19
212. sec: +0.4, ay: -0.4337, gx: -1.0532, angle: 19
213. sec: +0.4, ay: -0.4359, gx: -1.0754, angle: 19
214. sec: +0.4, ay: -0.4420, gx: -1.0873, angle: 19
215. sec: +0.4, ay: -0.4230, gx: -1.1043, angle: 20
216. sec: +0.4, ay: -0.3995, gx: -1.1263, angle: 20
217. sec: +0.4, ay: -0.4232, gx: -1.1443, angle: 20
218. sec: +0.4, ay: -0.4667, gx: -1.1498, angle: 20
219. sec: +0.4, ay: -0.4723, gx: -1.1502, angle: 20
220. sec: +0.4, ay: -0.4467, gx: -1.1411, angle: 20
221. sec: +0.4, ay: -0.4435, gx: -1.1266, angle: 20
222. sec: +0.4, ay: -0.4547, gx: -1.1015, angle: 20
223. sec: +0.4, ay: -0.4379, gx: -1.1120, angle: 20
224. sec: +0.4, ay: -0.4354, gx: -1.0596, angle: 21
225. sec: +0.4, ay: -0.4415, gx: -1.0472, angle: 21
226. sec: +0.4, ay: -0.4337, gx: -1.0318, angle: 21
227. sec: +0.4, ay: -0.4030, gx: -1.0384, angle: 21
228. sec: +0.4, ay: -0.4125, gx: -1.0517, angle: 21
229. sec: +0.4, ay: -0.4247, gx: -1.0537, angle: 21
230. sec: +0.4, ay: -0.4337, gx: -1.0528, angle: 21
231. sec: +0.4, ay: -0.4264, gx: -1.0578, angle: 21
232. sec: +0.4, ay: -0.4613, gx: -1.0566, angle: 21
233. sec: +0.4, ay: -0.4970, gx: -1.0353, angle: 22
234. sec: +0.4, ay: -0.5040, gx: -0.9956, angle: 22
235. sec: +0.4, ay: -0.5153, gx: -0.9455, angle: 22
236. sec: +0.4, ay: -0.5011, gx: -0.8872, angle: 22
237. sec: +0.4, ay: -0.4991, gx: -0.8219, angle: 22
238. sec: +0.4, ay: -0.4970, gx: -0.7550, angle: 22
239. sec: +0.4, ay: -0.4996, gx: -0.7278, angle: 22
240. sec: +0.4, ay: -0.4860, gx: -0.6464, angle: 22
241. sec: +0.4, ay: -0.4862, gx: -0.6317, angle: 22
242. sec: +0.4, ay: -0.4808, gx: -0.5979, angle: 22
243. sec: +0.4, ay: -0.4850, gx: -0.5388, angle: 22
244. sec: +0.4, ay: -0.4904, gx: -0.5288, angle: 22
245. sec: +0.4, ay: -0.4852, gx: -0.5269, angle: 22
246. sec: +0.4, ay: -0.4889, gx: -0.5280, angle: 22
247. sec: +0.4, ay: -0.4818, gx: -0.5040, angle: 23
248. sec: +0.4, ay: -0.4830, gx: -0.5494, angle: 23
249. sec: +0.4, ay: -0.4845, gx: -0.5582, angle: 23
250. sec: +0.4, ay: -0.5045, gx: -0.5650, angle: 23
251. sec: +0.5, ay: -0.4938, gx: -0.5344, angle: 23
252. sec: +0.5, ay: -0.4979, gx: -0.5711, angle: 23
253. sec: +0.5, ay: -0.5055, gx: -0.5738, angle: 23
254. sec: +0.5, ay: -0.5140, gx: -0.5739, angle: 23
255. sec: +0.5, ay: -0.5070, gx: -0.5722, angle: 23
256. sec: +0.5, ay: -0.5253, gx: -0.5689, angle: 23
257. sec: +0.5, ay: -0.5353, gx: -0.5666, angle: 23
258. sec: +0.5, ay: -0.5331, gx: -0.5349, angle: 23
259. sec: +0.5, ay: -0.5424, gx: -0.5649, angle: 23
260. sec: +0.5, ay: -0.5304, gx: -0.5667, angle: 23
261. sec: +0.5, ay: -0.5226, gx: -0.5769, angle: 23
262. sec: +0.5, ay: -0.5419, gx: -0.5795, angle: 23
263. sec: +0.5, ay: -0.5636, gx: -0.5952, angle: 23
264. sec: +0.5, ay: -0.5770, gx: -0.5689, angle: 24
265. sec: +0.5, ay: -0.5773, gx: -0.6162, angle: 24
266. sec: +0.5, ay: -0.5719, gx: -0.6287, angle: 24
267. sec: +0.5, ay: -0.5807, gx: -0.6447, angle: 24
268. sec: +0.5, ay: -0.5841, gx: -0.6565, angle: 24
269. sec: +0.5, ay: -0.5783, gx: -0.6693, angle: 24
270. sec: +0.5, ay: -0.5795, gx: -0.6853, angle: 24
271. sec: +0.5, ay: -0.5497, gx: -0.6921, angle: 24
