311. ay:-0.0085, gx:+0.0160
312. ay:-0.0027, gx:+0.0125
313. ay:-0.0037, gx:+0.0132
314. ay:-0.0098, gx:+0.0131
315. ay:-0.0059, gx:+0.0131
316. ay:-0.0066, gx:+0.0203
317. ay:-0.0115, gx:+0.0139
318. ay:-0.0054, gx:+0.0145
319. ay:-0.0112, gx:+0.0149
320. ay:-0.0071, gx:+0.0149
321. ay:-0.0027, gx:+0.0161
322. ay:-0.0051, gx:+0.0151
323. ay:-0.0059, gx:+0.0131
324. ay:-0.0005, gx:+0.0159
325. ay:-0.0090, gx:+0.0163
326. ay:-0.0095, gx:+0.0136
327. ay:-0.0012, gx:+0.0129
328. ay:-0.0051, gx:+0.0125
329. ay:-0.0039, gx:+0.0148
330. ay:+0.0005, gx:+0.0129
331. ay:-0.0034, gx:+0.0161
332. ay:-0.0042, gx:+0.0152
333. ay:+0.0012, gx:+0.0107
334. ay:-0.0037, gx:+0.0147
335. ay:-0.0063, gx:+0.0139
336. ay:-0.0054, gx:+0.0140
337. ay:-0.0059, gx:+0.0111
338. ay:-0.0110, gx:+0.0141
339. ay:-0.0012, gx:+0.0153
340. ay:-0.0056, gx:+0.0140
341. ay:-0.0034, gx:+0.0156
342. ay:-0.0039, gx:+0.0093
343. ay:-0.0078, gx:+0.0091
344. ay:-0.0122, gx:+0.0151
345. ay:-0.0156, gx:+0.0176
346. ay:-0.0059, gx:+0.0161
347. ay:-0.0010, gx:+0.0168
348. ay:-0.0024, gx:+0.0160
349. ay:-0.0049, gx:+0.0117
350. ay:-0.0024, gx:+0.0165
351. ay:-0.0068, gx:+0.0153
352. ay:-0.0054, gx:+0.0141
353. ay:-0.0044, gx:+0.0152
354. ay:-0.0042, gx:+0.0119
355. ay:-0.0073, gx:+0.0153
356. ay:-0.0100, gx:+0.0160
357. ay:-0.0083, gx:+0.0139
358. ay:-0.0098, gx:+0.0159
359. ay:-0.0085, gx:+0.0145
360. ay:-0.0071, gx:+0.0124
361. ay:-0.0042, gx:+0.0136
362. ay:+0.0022, gx:+0.0177
363. ay:-0.0034, gx:+0.0196
364. ay:-0.0085, gx:+0.0188
365. ay:-0.0081, gx:+0.0177
366. ay:-0.0005, gx:+0.0123
367. ay:-0.0100, gx:+0.0160
368. ay:-0.0100, gx:+0.0168
369. ay:-0.0078, gx:+0.0113
370. ay:-0.0042, gx:+0.0168
371. ay:-0.0076, gx:+0.0153
372. ay:-0.0056, gx:+0.0164
373. ay:-0.0056, gx:+0.0161
374. ay:-0.0120, gx:+0.0119
375. ay:-0.0020, gx:+0.0160
376. ay:+0.0137, gx:+0.0141
377. ay:-0.0083, gx:+0.0167
378. ay:-0.0068, gx:+0.0140
379. ay:-0.0059, gx:+0.0105
380. ay:-0.0139, gx:+0.0100
381. ay:-0.0027, gx:+0.0167
382. ay:-0.0073, gx:+0.0160
383. ay:-0.0105, gx:+0.0160
384. ay:-0.0085, gx:+0.0128
385. ay:-0.0095, gx:+0.0152
386. ay:-0.0044, gx:+0.0148
387. ay:-0.0063, gx:+0.0163
388. ay:-0.0071, gx:+0.0149
389. ay:-0.0046, gx:+0.0125
390. ay:-0.0039, gx:+0.0133
391. ay:-0.0068, gx:+0.0141
392. ay:-0.0088, gx:+0.0157
393. ay:-0.0068, gx:+0.0155
394. ay:-0.0068, gx:+0.0127
395. ay:-0.0063, gx:+0.0177
396. ay:-0.0107, gx:+0.0135
397. ay:-0.0061, gx:+0.0132
398. ay:-0.0098, gx:+0.0145
399. ay:-0.0054, gx:+0.0100
400. ay:-0.0044, gx:+0.0117
401. ay:-0.0127, gx:+0.0115
402. ay:-0.0110, gx:+0.0144
403. ay:-0.0054, gx:+0.0140
404. ay:-0.0095, gx:+0.0144
405. ay:-0.0073, gx:+0.0125
406. ay:-0.0039, gx:+0.0169
407. ay:-0.0105, gx:+0.0177
408. ay:-0.0007, gx:+0.0173
409. ay:-0.0095, gx:+0.0177
410. ay:-0.0085, gx:+0.0161
411. ay:-0.0093, gx:+0.0116
412. ay:-0.0076, gx:+0.0155
413. ay:-0.0059, gx:+0.0113
414. ay:-0.0063, gx:+0.0163
415. ay:-0.0044, gx:+0.0164
416. ay:-0.0071, gx:+0.0172
417. ay:-0.0085, gx:+0.0127
418. ay:-0.0068, gx:+0.0161
419. ay:-0.0059, gx:+0.0121
420. ay:-0.0103, gx:+0.0156
421. ay:-0.0054, gx:+0.0160
422. ay:-0.0081, gx:+0.0180
423. ay:-0.0037, gx:+0.0159
424. ay:-0.0044, gx:+0.0137
425. ay:-0.0066, gx:+0.0109
426. ay:-0.0249, gx:+0.0164
427. ay:-0.0083, gx:+0.0137
428. ay:-0.0042, gx:+0.0159
429. ay:-0.0066, gx:+0.0133
430. ay:-0.0071, gx:+0.0121
431. ay:-0.0054, gx:+0.0149
432. ay:-0.0081, gx:+0.0137
433. ay:-0.0100, gx:+0.0157
434. ay:-0.0112, gx:+0.0145
435. ay:-0.0081, gx:+0.0148
436. ay:-0.0068, gx:+0.0163
437. ay:-0.0015, gx:+0.0141
438. ay:-0.0056, gx:+0.0147
439. ay:-0.0037, gx:+0.0152
440. ay:-0.0105, gx:+0.0119
441. ay:-0.0098, gx:+0.0145
442. ay:-0.0046, gx:+0.0157
443. ay:-0.0024, gx:+0.0156
444. ay:-0.0112, gx:+0.0097
445. ay:-0.0051, gx:+0.0141
446. ay:-0.0037, gx:+0.0160
447. ay:-0.0059, gx:+0.0135
448. ay:-0.0063, gx:+0.0185
449. ay:-0.0125, gx:+0.0160
450. ay:+0.0000, gx:+0.0133
451. ay:-0.0054, gx:+0.0167
452. ay:-0.0073, gx:+0.0183
453. ay:-0.0068, gx:+0.0152
454. ay:-0.0090, gx:+0.0148
455. ay:-0.0085, gx:+0.0151
456. ay:-0.0066, gx:+0.0156
457. ay:-0.0090, gx:+0.0129
458. ay:-0.0056, gx:+0.0117
459. ay:-0.0051, gx:+0.0139
460. ay:-0.0056, gx:+0.0157
461. ay:-0.0103, gx:+0.0151
462. ay:-0.0107, gx:+0.0128
463. ay:-0.0061, gx:+0.0124
464. ay:-0.0117, gx:+0.0128
465. ay:-0.0083, gx:+0.0160
466. ay:-0.0049, gx:+0.0137
467. ay:-0.0066, gx:+0.0124
468. ay:-0.0085, gx:+0.0152
469. ay:-0.0059, gx:+0.0167
470. ay:-0.0054, gx:+0.0137
471. ay:-0.0029, gx:+0.0144
472. ay:-0.0127, gx:+0.0129
473. ay:-0.0056, gx:+0.0137
474. ay:-0.0076, gx:+0.0161
475. ay:-0.0112, gx:+0.0149
476. ay:-0.0098, gx:+0.0155
477. ay:-0.0122, gx:+0.0181
478. ay:-0.0076, gx:+0.0149
479. ay:-0.0071, gx:+0.0155
480. ay:-0.0068, gx:+0.0147
481. ay:-0.0063, gx:+0.0163
482. ay:-0.0046, gx:+0.0143
483. ay:-0.0146, gx:+0.0164
484. ay:-0.0071, gx:+0.0152
485. ay:-0.0022, gx:+0.0145
486. ay:-0.0042, gx:+0.0155
487. ay:-0.0066, gx:+0.0163
488. ay:-0.0012, gx:+0.0149
489. ay:+0.0005, gx:+0.0148
490. ay:-0.0066, gx:+0.0173
491. ay:-0.0051, gx:+0.0105
492. ay:-0.0083, gx:+0.0139
493. ay:-0.0054, gx:+0.0156
494. ay:-0.0054, gx:+0.0121
495. ay:-0.0056, gx:+0.0156
496. ay:-0.0134, gx:+0.0169
497. ay:-0.0112, gx:+0.0171
498. ay:-0.0039, gx:+0.0139
499. ay:-0.0085, gx:+0.0145
500. ay:-0.0081, gx:+0.0164
501. ay:-0.0037, gx:+0.0141
502. ay:-0.0149, gx:+0.0148
503. ay:-0.0054, gx:+0.0152
504. ay:-0.0044, gx:+0.0167
505. ay:-0.0005, gx:+0.0157
506. ay:+0.0010, gx:+0.0169
507. ay:-0.0007, gx:+0.0137
508. ay:-0.0059, gx:+0.0141
509. ay:-0.0032, gx:+0.0145
510. ay:-0.0032, gx:+0.0143
511. ay:-0.0073, gx:+0.0152
512. ay:-0.0056, gx:+0.0164
513. ay:-0.0081, gx:+0.0157
514. ay:-0.0044, gx:+0.0139
515. ay:-0.0066, gx:+0.0161
516. ay:-0.0090, gx:+0.0144
517. ay:-0.0081, gx:+0.0157
518. ay:-0.0029, gx:+0.0147
519. ay:-0.0095, gx:+0.0120
520. ay:-0.0056, gx:+0.0147
521. ay:-0.0083, gx:+0.0164
522. ay:-0.0129, gx:+0.0159
523. ay:-0.0059, gx:+0.0156
524. ay:-0.0032, gx:+0.0137
525. ay:-0.0024, gx:+0.0132
526. ay:-0.0061, gx:+0.0140
527. ay:-0.0061, gx:+0.0139
528. ay:-0.0054, gx:+0.0169
529. ay:-0.0037, gx:+0.0144
530. ay:-0.0039, gx:+0.0121
531. ay:-0.0093, gx:+0.0145
532. ay:-0.0073, gx:+0.0152
533. ay:-0.0049, gx:+0.0155
534. ay:-0.0051, gx:+0.0169
535. ay:-0.0054, gx:+0.0165
536. ay:-0.0063, gx:+0.0147
537. ay:-0.0098, gx:+0.0136
538. ay:-0.0059, gx:+0.0161
539. ay:-0.0039, gx:+0.0177
540. ay:-0.0049, gx:+0.0171
541. ay:-0.0107, gx:+0.0117
542. ay:-0.0083, gx:+0.0117
543. ay:-0.0059, gx:+0.0109
544. ay:-0.0032, gx:+0.0173
545. ay:-0.0139, gx:+0.0145
546. ay:-0.0054, gx:+0.0152
547. ay:-0.0071, gx:+0.0131
548. ay:-0.0063, gx:+0.0124
549. ay:-0.0063, gx:+0.0180
550. ay:-0.0054, gx:+0.0147
551. ay:-0.0100, gx:+0.0129
552. ay:-0.0054, gx:+0.0135
553. ay:+0.0146, gx:+0.0159
554. ay:-0.0073, gx:+0.0183
555. ay:-0.0037, gx:+0.0141
556. ay:-0.0059, gx:+0.0152
557. ay:-0.0090, gx:+0.0153
558. ay:-0.0090, gx:+0.0160
559. ay:-0.0081, gx:+0.0143
560. ay:-0.0088, gx:+0.0169
561. ay:-0.0090, gx:+0.0144
562. ay:-0.0046, gx:+0.0165
563. ay:-0.0005, gx:+0.0168
564. ay:-0.0066, gx:+0.0145
565. ay:-0.0088, gx:+0.0109
566. ay:-0.0073, gx:+0.0135
567. ay:-0.0134, gx:+0.0156
568. ay:-0.0098, gx:+0.0137
569. ay:-0.0132, gx:+0.0159
570. ay:-0.0049, gx:+0.0161
571. ay:-0.0071, gx:+0.0147
572. ay:-0.0034, gx:+0.0160
573. ay:-0.0063, gx:+0.0137
574. ay:-0.0093, gx:+0.0136
575. ay:-0.0083, gx:+0.0148
576. ay:-0.0037, gx:+0.0131
577. ay:-0.0022, gx:+0.0151
578. ay:-0.0081, gx:+0.0153
579. ay:-0.0059, gx:+0.0151
580. ay:-0.0017, gx:+0.0152
581. ay:-0.0054, gx:+0.0120
582. ay:-0.0029, gx:+0.0153
583. ay:-0.0061, gx:+0.0144
584. ay:-0.0076, gx:+0.0139
585. ay:-0.0049, gx:+0.0152
586. ay:-0.0061, gx:+0.0176
587. ay:-0.0039, gx:+0.0163
588. ay:-0.0063, gx:+0.0145
589. ay:-0.0066, gx:+0.0152
590. ay:-0.0090, gx:+0.0128
591. ay:-0.0127, gx:+0.0135
