160. sec: +0.3, ay: -0.0518, gx: -0.0509, angle: 0
161. sec: +0.3, ay: -0.0583, gx: -0.0550, angle: 0
162. sec: +0.3, ay: -0.0398, gx: -0.0613, angle: 0
163. sec: +0.3, ay: -0.0359, gx: -0.0633, angle: 0
164. sec: +0.3, ay: -0.0237, gx: -0.0781, angle: 0
165. sec: +0.3, ay: -0.0156, gx: -0.0946, angle: 0
166. sec: +0.3, ay: -0.0088, gx: -0.1114, angle: 0
167. sec: +0.3, ay: -0.0129, gx: -0.1268, angle: 0
168. sec: +0.3, ay: +0.0112, gx: -0.1487, angle: 0
169. sec: +0.3, ay: +0.0186, gx: -0.1660, angle: 0
170. sec: +0.3, ay: +0.0151, gx: -0.1900, angle: 0
171. sec: +0.3, ay: +0.0188, gx: -0.2094, angle: 0
172. sec: +0.3, ay: +0.0234, gx: -0.2330, angle: 0
173. sec: +0.3, ay: +0.0239, gx: -0.2489, angle: 0
174. sec: +0.3, ay: +0.0139, gx: -0.2579, angle: 0
175. sec: +0.3, ay: +0.0120, gx: -0.2625, angle: 0
176. sec: +0.3, ay: +0.0029, gx: -0.2517, angle: 0
177. sec: +0.3, ay: -0.0005, gx: -0.2265, angle: 0
178. sec: +0.3, ay: +0.0044, gx: -0.2196, angle: 0
179. sec: +0.3, ay: +0.0132, gx: -0.2234, angle: 0
180. sec: +0.3, ay: +0.0063, gx: -0.2294, angle: 0
181. sec: +0.3, ay: +0.0061, gx: -0.2257, angle: 0
182. sec: +0.3, ay: -0.0156, gx: -0.2133, angle: 0
183. sec: +0.3, ay: +0.0032, gx: -0.1965, angle: 0
184. sec: +0.3, ay: +0.0005, gx: -0.1892, angle: 0
185. sec: +0.3, ay: +0.0044, gx: -0.1775, angle: 0
186. sec: +0.3, ay: +0.0054, gx: -0.1458, angle: 0
187. sec: +0.3, ay: -0.0063, gx: -0.1331, angle: 0
188. sec: +0.3, ay: -0.0068, gx: -0.1223, angle: 0
189. sec: +0.3, ay: -0.0254, gx: -0.1073, angle: 0
190. sec: +0.3, ay: -0.0356, gx: -0.0993, angle: 0
191. sec: +0.3, ay: -0.0386, gx: -0.0954, angle: 0
192. sec: +0.3, ay: -0.0356, gx: -0.0902, angle: 0
193. sec: +0.3, ay: -0.0413, gx: -0.0847, angle: 0
194. sec: +0.3, ay: -0.0459, gx: -0.0855, angle: 0
195. sec: +0.4, ay: -0.0444, gx: -0.0894, angle: 0
